country,year,pop,continent,lifeExp,gdpPercap
Ecuador,1952,3548753,Americas,48.357,3522.110717
Ecuador,1957,4058385,Americas,51.356,3780.546651
Ecuador,1962,4681707,Americas,54.64,4086.114078
Ecuador,1967,5432424,Americas,56.678,4579.074215
Ecuador,1972,6298651,Americas,58.796,5280.99471
Ecuador,1977,7278866,Americas,61.31,6679.62326
Ecuador,1982,8365850,Americas,64.342,7213.791267
Ecuador,1987,9545158,Americas,67.231,6481.776993
Ecuador,1992,10748394,Americas,69.613,7103.702595
Ecuador,1997,11911819,Americas,72.312,7429.455877
Ecuador,2002,12921234,Americas,74.173,5773.044512
Ecuador,2007,13755680,Americas,74.994,6873.262326
Egypt,1952,22223309,Africa,41.893,1418.822445
Egypt,1957,25009741,Africa,44.444,1458.915272
Egypt,1962,28173309,Africa,46.992,1693.335853
Egypt,1967,31681188,Africa,49.293,1814.880728
Egypt,1972,34807417,Africa,51.137,2024.008147
Egypt,1977,38783863,Africa,53.319,2785.493582
Egypt,1982,45681811,Africa,56.006,3503.729636
Egypt,1987,52799062,Africa,59.797,3885.46071
Egypt,1992,59402198,Africa,63.674,3794.755195
Egypt,1997,66134291,Africa,67.217,4173.181797
Egypt,2002,73312559,Africa,69.806,4754.604414
Egypt,2007,80264543,Africa,71.338,5581.180998
El Salvador,1952,2042865,Americas,45.262,3048.3029
El Salvador,1957,2355805,Americas,48.57,3421.523218
El Salvador,1962,2747687,Americas,52.307,3776.803627
El Salvador,1967,3232927,Americas,55.855,4358.595393
El Salvador,1972,3790903,Americas,58.207,4520.246008
El Salvador,1977,4282586,Americas,56.696,5138.922374
El Salvador,1982,4474873,Americas,56.604,4098.344175
El Salvador,1987,4842194,Americas,63.154,4140.442097
El Salvador,1992,5274649,Americas,66.798,4444.2317
El Salvador,1997,5783439,Americas,69.535,5154.825496
El Salvador,2002,6353681,Americas,70.734,5351.568666
El Salvador,2007,6939688,Americas,71.878,5728.353514
Equatorial Guinea,1952,216964,Africa,34.482,375.6431231
Equatorial Guinea,1957,232922,Africa,35.983,426.0964081
Equatorial Guinea,1962,249220,Africa,37.485,582.8419714
Equatorial Guinea,1967,259864,Africa,38.987,915.5960025
Equatorial Guinea,1972,277603,Africa,40.516,672.4122571
Equatorial Guinea,1977,192675,Africa,42.024,958.5668124
Equatorial Guinea,1982,285483,Africa,43.662,927.8253427
Equatorial Guinea,1987,341244,Africa,45.664,966.8968149
Equatorial Guinea,1992,387838,Africa,47.545,1132.055034
Equatorial Guinea,1997,439971,Africa,48.245,2814.480755
Equatorial Guinea,2002,495627,Africa,49.348,7703.4959
Equatorial Guinea,2007,551201,Africa,51.579,12154.08975
Eritrea,1952,1438760,Africa,35.928,328.9405571
Eritrea,1957,1542611,Africa,38.047,344.1618859
Eritrea,1962,1666618,Africa,40.158,380.9958433
Eritrea,1967,1820319,Africa,42.189,468.7949699
Eritrea,1972,2260187,Africa,44.142,514.3242082
Eritrea,1977,2512642,Africa,44.535,505.7538077
Eritrea,1982,2637297,Africa,43.89,524.8758493
Eritrea,1987,2915959,Africa,46.453,521.1341333
Eritrea,1992,3668440,Africa,49.991,582.8585102
Eritrea,1997,4058319,Africa,53.378,913.47079
Eritrea,2002,4414865,Africa,55.24,765.3500015
Eritrea,2007,4906585,Africa,58.04,641.3695236
Ethiopia,1952,20860941,Africa,34.078,362.1462796
Ethiopia,1957,22815614,Africa,36.667,378.9041632
Ethiopia,1962,25145372,Africa,40.059,419.4564161
Ethiopia,1967,27860297,Africa,42.115,516.1186438
Ethiopia,1972,30770372,Africa,43.515,566.2439442
Ethiopia,1977,34617799,Africa,44.51,556.8083834
Ethiopia,1982,38111756,Africa,44.916,577.8607471
Ethiopia,1987,42999530,Africa,46.684,573.7413142
Ethiopia,1992,52088559,Africa,48.091,421.3534653
Ethiopia,1997,59861301,Africa,49.402,515.8894013
Ethiopia,2002,67946797,Africa,50.725,530.0535319
Ethiopia,2007,76511887,Africa,52.947,690.8055759
